Address,Short Address,BTC,USD Value,% of coins,First In,Last In,Ins,First Out,Last Out,Outs,Days Since First In,Days Since Last In,Days Since Last Out,Address Type,Txs Difference,Days Out Minus In,HODL_Days,Age Band
"bc1qd4ysezhmypwty5dnw7c8nqy5h5nxg0xqsvaefd0qn5kq32vwnwqqgv..4rzr 30d:+6000 BTCBalance:55,000 BTC ($4,538,313,026) Ins:111 Outs:104",bc1qd4ys,55000.0,4538313026.0,0.2773,2021-10-11 12:39:15+00:00,2025-03-04 00:00:16+00:00,111,2022-07-15 15:51:57+00:00,2024-12-31 23:12:10+00:00,104,1246,6,69.0,Bech32,7,63.0,69,1 month - 3 months
"1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeCBalance:53,880 BTC ($4,445,894,115) Ins:201 Outs:0",1LdRcdxf,53880.0,4445894115.0,0.2717,2014-05-27 22:49:42+00:00,2025-03-09 14:45:58+00:00,201,,,0,3940,1,,Legacy,201,,3940,+10 years
"1AC4fMwgY8j9onSbXEWeH6Zan8QGMSdmtABalance:51,830 BTC ($4,276,766,810) Ins:142 Outs:0",1AC4fMwg,51830.0,4276766810.0,0.2613,2018-01-07 14:45:18+00:00,2025-02-26 09:28:01+00:00,142,,,0,2619,12,,Legacy,142,,2619,7 years - 10 years
"3PXBET2GrTwCamkeDzKCx8DeGDyrbuGKocwallet: Binance-coldwalletBalance:45,177 BTC ($3,727,795,843) Ins:16 Outs:0",3PXBET2G,45177.0,3727795843.0,0.2278,2024-08-27 09:29:35+00:00,2024-12-26 11:53:46+00:00,16,,,0,195,74,,SegWit,16,,195,6 months - 12 months
"1LruNZjwamWJXThX2Y8C2d47QqhAkkc5osBalance:44,000 BTC ($3,630,651,260) Ins:69 Outs:0",1LruNZjw,44000.0,3630651260.0,0.2218,2019-11-24 15:11:20+00:00,2025-02-26 09:28:01+00:00,69,,,0,1933,12,,Legacy,69,,1933,5 years - 7 years
"bc1qa2eu6p5rl9255e3xz7fcgm6snn4wl5kdfh7zpt05qp5fad9dmsys0q..jg0e 7d:+4000 BTC / 30d:-14977 BTCBalance:43,194 BTC ($3,564,167,715) Ins:58 Outs:17",bc1qa2eu,43194.0,3564167715.0,0.2178,2024-06-30 06:59:39+00:00,2025-03-09 15:02:26+00:00,58,2024-07-02 04:07:21+00:00,2025-02-22 14:34:59+00:00,17,253,1,16.0,Bech32,41,15.0,16,1 week - 1 month
"bc1qxu4nfkdf8a97mey8ke3npg3aggvskvvcdgndnvxn5upv7jypxdgs3m..hvvy 7d:-1319 BTC / 30d:+554.93 BTCBalance:42,522 BTC ($3,508,674,301) Ins:20 Outs:3",bc1qxu4n,42522.0,3508674301.0,0.2144,2024-12-10 20:52:04+00:00,2025-03-07 17:56:25+00:00,20,2024-12-17 18:09:32+00:00,2025-03-07 15:53:58+00:00,3,90,3,3.0,Bech32,17,0.0,3,1 day - 1 week
"bc1q4j7fcl8zx5yl56j00nkqez9zf3f6ggqchwzzcs5hjxwqhsgxvavq3q..fgprwallet: Coincheck 7d:+147.48 BTC / 30d:-3928 BTCBalance:41,734 BTC ($3,443,628,425) Ins:1547 Outs:1475",bc1q4j7f,41734.0,3443628425.0,0.2104,2024-02-02 04:05:46+00:00,2025-03-10 05:24:44+00:00,1547,2024-02-07 05:20:03+00:00,2025-03-07 10:03:34+00:00,1475,402,0,3.0,Bech32,72,3.0,3,1 day - 1 week
"3MgEAFWu1HKSnZ5ZsC8qf61ZW18xrP5pgdwallet: OKEx 7d:+351 BTC / 30d:+702 BTCBalance:40,371 BTC ($3,331,170,216) Ins:498 Outs:245",3MgEAFWu,40371.0,3331170216.0,0.2035,2022-12-16 01:48:57+00:00,2025-03-03 23:02:22+00:00,498,2022-12-21 00:31:18+00:00,2025-02-03 15:50:49+00:00,245,815,7,35.0,SegWit,253,28.0,35,1 month - 3 months
"3LQUu4v9z6KNch71j7kbj8GPeAGUo1FW6awallet: Binance-coldwalletBalance:37,927 BTC ($3,129,539,126) Ins:46 Outs:0",3LQUu4v9,37927.0,3129539126.0,0.1912,2021-10-24 15:14:53+00:00,2025-02-26 11:51:41+00:00,46,,,0,1233,12,,SegWit,46,,1233,3 years - 5 years
