Address,Short Address,BTC,USD Value,% of coins,First In,Last In,Ins,First Out,Last Out,Outs,Days Since First In,Days Since Last In,Days Since Last Out,Address Type,Txs Difference,Days Out Minus In,HODL_Days,Age Band
"1PJiGp2yDLvUgqeBsuZVCBADArNsk6XEiwwallet: Binance-coldwallet 30d:+462 BTCBalance:13,159 BTC ($1,085,810,692) Ins:86 Outs:31",1PJiGp2y,13159.0,1085810692.0,0.06635,2023-12-21 07:02:55+00:00,2025-02-25 08:15:35+00:00,86,2023-12-26 06:16:18+00:00,2025-02-25 08:15:35+00:00,31,445,13,13.0,Legacy,55,0.0,13,1 week - 1 month
"bc1p3nmr2yzmgaml07lx7n3ehe8a2uvu2nrqfrqx8leqt562t4dnm8tsqx..mpytBalance:13,129 BTC ($1,083,334,686) Ins:36 Outs:0",bc1p3nmr,13129.0,1083334686.0,0.06619,2024-10-08 18:07:09+00:00,2024-12-29 09:18:33+00:00,36,,,0,153,71,,Taproot,36,,153,3 months - 6 months
"bc1q4vxn43l44h30nkluqfxd9eckf45vr2awz38lwawallet: UK-Gov-ConfiscatedBalance:13,003 BTC ($1,072,939,698) Ins:26 Outs:0",bc1q4vxn,13003.0,1072939698.0,0.06556,2021-07-27 13:39:28+00:00,2025-01-18 04:04:31+00:00,26,,,0,1322,51,,Bech32,26,,1322,3 years - 5 years
"3FM9vDYsN2iuMPKWjAcqgyahdwdrUxhbJ3wallet: OKEx 7d:-84.85 BTC / 30d:-509.08 BTCBalance:12,685 BTC ($1,046,692,615) Ins:223 Outs:138",3FM9vDYs,12685.0,1046692615.0,0.06395,2024-01-05 18:09:57+00:00,2025-03-07 22:57:33+00:00,223,2024-03-01 22:58:54+00:00,2025-03-06 22:41:00+00:00,138,430,3,4.0,SegWit,85,1.0,4,1 day - 1 week
"3D6kjgsypiAnGY7E1XHDQXapW4whUWaH1H 7d:+5.79 BTC / 30d:-236.61 BTCBalance:12,523 BTC ($1,033,360,553) Ins:87 Outs:7",3D6kjgsy,12523.0,1033360553.0,0.06314,2023-12-12 20:37:30+00:00,2025-03-05 08:14:40+00:00,87,2025-01-07 21:35:18+00:00,2025-02-25 19:39:31+00:00,7,454,5,13.0,SegWit,80,8.0,13,1 week - 1 month
"bc1qkmk4v2xn29yge68fq6zh7gvfdqrvpq3v3p3y0swallet: Bitfinex-Hack-RecoveryBalance:12,267 BTC ($1,012,208,992) Ins:7 Outs:0",bc1qkmk4,12267.0,1012208992.0,0.06185,2024-02-28 19:31:56+00:00,2025-01-14 20:25:15+00:00,7,,,0,376,55,,Bech32,7,,376,1 year - 2 years
"bc1qcpflj68s3ahy4xajez4d8v3vk28pvf7qte2jmlftvxzfke2u6mqsge..3gvh 30d:-9278 BTCBalance:11,908 BTC ($982,617,841) Ins:220 Outs:219",bc1qcpfl,11908.0,982617841.0,0.06004,2024-03-01 14:00:24+00:00,2025-02-25 22:39:21+00:00,220,2024-04-24 09:42:47+00:00,2025-02-25 22:39:21+00:00,219,374,13,13.0,Bech32,1,0.0,13,1 week - 1 month
"1Mo1nW5ZM5m2tx9qMsYm2YJxGn3TeS9gR9 7d:+11834 BTC / 30d:+11834 BTCBalance:11,834 BTC ($976,448,799) Ins:1 Outs:0",1Mo1nW5Z,11834.0,976448799.0,0.05966,2025-03-06 00:03:17+00:00,2025-03-06 00:03:17+00:00,1,,,0,4,4,,Legacy,1,,4,1 day - 1 week
"39gUvGynQ7Re3i15G3J2gp9DEB9LnLFPMNBalance:11,262 BTC ($929,292,975) Ins:361 Outs:311",39gUvGyn,11262.0,929292975.0,0.05678,2021-02-24 13:55:08+00:00,2025-02-24 08:46:00+00:00,361,2021-06-29 12:40:38+00:00,2025-02-24 08:46:00+00:00,311,1475,14,14.0,SegWit,50,0.0,14,1 week - 1 month
"1F34duy2eeMz5mSrvFepVzy7Y1rBsnAyWCBalance:10,771 BTC ($888,726,895) Ins:108 Outs:0",1F34duy2,10771.0,888726895.0,0.0543,2011-08-08 22:14:47+00:00,2025-01-28 01:14:50+00:00,108,,,0,4963,41,,Legacy,108,,4963,+10 years
"bc1q7t9fxfaakmtk8pj7tdxjvwsng6y9x76czuaf5hwallet: Binance-coldwalletBalance:10,650 BTC ($878,780,930) Ins:8 Outs:1",bc1q7t9f,10650.0,878780930.0,0.0537,2024-03-01 10:14:40+00:00,2025-02-28 01:04:44+00:00,8,2024-03-05 03:59:10+00:00,2024-03-05 03:59:10+00:00,1,374,10,370.0,Bech32,7,360.0,370,1 year - 2 years
"bc1qxlth5har0qasqvattsjvgp80st2x402u5shuudBalance:10,500 BTC ($866,404,184) Ins:10 Outs:0",bc1qxlth,10500.0,866404184.0,0.05294,2024-06-22 03:04:19+00:00,2025-01-19 02:00:52+00:00,10,,,0,261,50,,Bech32,10,,261,6 months - 12 months
"1Pzaqw98PeRfyHypfqyEgg5yycJRsENrE7wallet: Binance-coldwallet 7d:-50 BTC / 30d:-5562 BTCBalance:10,402 BTC ($858,307,235) Ins:145 Outs:106",1Pzaqw98,10402.0,858307235.0,0.05244,2023-06-19 09:30:18+00:00,2025-03-06 16:05:04+00:00,145,2023-06-19 09:54:17+00:00,2025-03-06 16:05:04+00:00,106,630,4,4.0,Legacy,39,0.0,4,1 day - 1 week
"1Q8QR5k32hexiMQnRgkJ6fmmjn5fMWhdv9wallet: Binance-PoolBalance:10,217 BTC ($843,029,005) Ins:1609 Outs:0",1Q8QR5k3,10217.0,843029005.0,0.05151,2021-08-12 04:31:43+00:00,2025-01-28 07:26:42+00:00,1609,,,0,1306,41,,Legacy,1609,,1306,3 years - 5 years
"bc1qhk0ghcywv0mlmcmz408sdaxudxuk9tvng9xx8gwallet: 92995586 7d:+225 BTC / 30d:+2732 BTCBalance:10,077 BTC ($831,500,804) Ins:487 Outs:465",bc1qhk0g,10077.0,831500804.0,0.05081,2022-07-20 22:35:12+00:00,2025-03-05 22:17:02+00:00,487,2022-09-16 17:41:58+00:00,2025-01-31 00:39:43+00:00,465,964,5,38.0,Bech32,22,33.0,38,1 month - 3 months
"1f1miYFQWTzdLiCBxtHHnNiW7WAWPUccrBalance:10,009 BTC ($825,910,747) Ins:87 Outs:0",1f1miYFQ,10009.0,825910747.0,0.05046,2011-05-04 02:10:49+00:00,2025-01-27 18:29:28+00:00,87,,,0,5059,42,,Legacy,87,,5059,+10 years
"bc1qsxdxm0exqdsmnl9ejrz250xqxrxpxkgf5nhhtqBalance:10,002 BTC ($825,290,177) Ins:22 Outs:0",bc1qsxdx,10002.0,825290177.0,0.05043,2021-08-14 04:37:58+00:00,2025-03-03 13:41:33+00:00,22,,,0,1304,7,,Bech32,22,,1304,3 years - 5 years
"1BAFWQhH9pNkz3mZDQ1tWrtKkSHVCkc3fVBalance:10,000 BTC ($825,152,858) Ins:55 Outs:0",1BAFWQhH,10000.0,825152858.0,0.05042,2011-05-04 02:01:23+00:00,2025-01-28 07:27:07+00:00,55,,,0,5059,41,,Legacy,55,,5059,+10 years
"14YK4mzJGo5NKkNnmVJeuEAQftLt795GecBalance:10,000 BTC ($825,149,333) Ins:67 Outs:0",14YK4mzJ,10000.0,825149333.0,0.05042,2011-05-04 01:40:51+00:00,2025-01-28 07:26:42+00:00,67,,,0,5059,41,,Legacy,67,,5059,+10 years
"1Ki3WTEEqTLPNsN5cGTsMkL2sJ4m5mdCXTBalance:10,000 BTC ($825,148,466) Ins:50 Outs:0",1Ki3WTEE,10000.0,825148466.0,0.05042,2017-10-16 23:18:28+00:00,2025-01-28 07:27:07+00:00,50,,,0,2702,41,,Legacy,50,,2702,7 years - 10 years
"1KbrSKrT3GeEruTuuYYUSQ35JwKbrAWJYmBalance:10,000 BTC ($825,147,775) Ins:75 Outs:0",1KbrSKrT,10000.0,825147775.0,0.05042,2011-04-02 22:18:45+00:00,2025-01-28 03:11:55+00:00,75,,,0,5091,41,,Legacy,75,,5091,+10 years
"1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrtBalance:10,000 BTC ($825,147,442) Ins:60 Outs:0",1P1iThxB,10000.0,825147442.0,0.05042,2011-05-04 01:14:27+00:00,2025-01-28 07:26:42+00:00,60,,,0,5059,41,,Legacy,60,,5059,+10 years
"12tLs9c9RsALt4ockxa1hB4iTCTSmxj2meBalance:10,000 BTC ($825,147,322) Ins:59 Outs:0",12tLs9c9,10000.0,825147322.0,0.05042,2011-04-02 21:08:32+00:00,2025-01-27 18:29:28+00:00,59,,,0,5091,42,,Legacy,59,,5091,+10 years
"1ucXXZQSEf4zny2HRwAQKtVpkLPTUKRttBalance:10,000 BTC ($825,147,264) Ins:51 Outs:0",1ucXXZQS,10000.0,825147264.0,0.05042,2011-05-04 02:01:23+00:00,2025-01-27 18:29:28+00:00,51,,,0,5059,42,,Legacy,51,,5059,+10 years
"1DzsfLRDfbmQM99xm59au2SrTY3YmciBSBBalance:10,000 BTC ($825,147,252) Ins:19 Outs:1",1DzsfLRD,10000.0,825147252.0,0.05042,2022-11-02 07:24:29+00:00,2025-03-05 21:08:29+00:00,19,2022-11-02 10:42:08+00:00,2022-11-02 10:42:08+00:00,1,859,5,859.0,Legacy,18,854.0,859,2 years - 3 years
"1CPaziTqeEixPoSFtJxu74uDGbpEAotZomBalance:10,000 BTC ($825,147,237) Ins:49 Outs:0",1CPaziTq,10000.0,825147237.0,0.05042,2011-05-04 01:28:05+00:00,2025-01-28 07:27:07+00:00,49,,,0,5059,41,,Legacy,49,,5059,+10 years
"1GUfWdZQoo2pQ4BKHsiegxuZPnheY5ueTmBalance:10,000 BTC ($825,147,085) Ins:15 Outs:1",1GUfWdZQ,10000.0,825147085.0,0.05042,2022-11-02 08:04:11+00:00,2025-01-28 07:27:07+00:00,15,2022-11-02 10:42:08+00:00,2022-11-02 10:42:08+00:00,1,859,41,859.0,Legacy,14,818.0,859,2 years - 3 years
"12HnxiXEeKUVjQRbMVTytsGWnzHd5LdGCtBalance:10,000 BTC ($825,147,011) Ins:16 Outs:1",12HnxiXE,10000.0,825147011.0,0.05042,2022-11-02 07:58:12+00:00,2025-01-28 03:11:55+00:00,16,2022-11-02 10:42:08+00:00,2022-11-02 10:42:08+00:00,1,859,41,859.0,Legacy,15,818.0,859,2 years - 3 years
"17uULjz9moeLyjXHoKNwDRgKzf8ahY3JiaBalance:10,000 BTC ($825,147,005) Ins:16 Outs:1",17uULjz9,10000.0,825147005.0,0.05042,2022-11-02 07:58:12+00:00,2025-01-28 07:26:42+00:00,16,2022-11-02 10:42:08+00:00,2022-11-02 10:42:08+00:00,1,859,41,859.0,Legacy,15,818.0,859,2 years - 3 years
"18qNs1yBGGKR8RyErnEF5kegbNUgPfixhSBalance:10,000 BTC ($825,146,965) Ins:14 Outs:1",18qNs1yB,10000.0,825146965.0,0.05042,2022-11-02 08:04:11+00:00,2025-01-27 14:10:18+00:00,14,2022-11-02 10:42:08+00:00,2022-11-02 10:42:08+00:00,1,859,42,859.0,Legacy,13,817.0,859,2 years - 3 years
"1DP3VYwN6ozHXDDaETbvNFLd86CAXfaewiBalance:10,000 BTC ($825,146,868) Ins:13 Outs:1",1DP3VYwN,10000.0,825146868.0,0.05042,2022-11-02 07:37:26+00:00,2025-01-28 07:26:42+00:00,13,2022-11-02 10:42:08+00:00,2022-11-02 10:42:08+00:00,1,859,41,859.0,Legacy,12,818.0,859,2 years - 3 years
"1MewpRkpcbFdqamPPYc1bXa9AJ189SuccyBalance:10,000 BTC ($825,146,859) Ins:12 Outs:1",1MewpRkp,10000.0,825146859.0,0.05042,2022-11-02 06:45:37+00:00,2025-01-27 05:13:01+00:00,12,2022-11-02 10:42:08+00:00,2022-11-02 10:42:08+00:00,1,859,42,859.0,Legacy,11,817.0,859,2 years - 3 years
"1MtUMTqtdrpT6Rar5fgWoyrzAevatssej5Balance:10,000 BTC ($825,146,858) Ins:13 Outs:1",1MtUMTqt,10000.0,825146858.0,0.05042,2022-11-02 07:24:29+00:00,2025-01-27 05:29:42+00:00,13,2022-11-02 10:42:08+00:00,2022-11-02 10:42:08+00:00,1,859,42,859.0,Legacy,12,817.0,859,2 years - 3 years
"1NhJGUJu8rrTwPS4vopsdTqqcK4nAwdLwJBalance:10,000 BTC ($825,146,857) Ins:12 Outs:1",1NhJGUJu,10000.0,825146857.0,0.05042,2022-11-02 07:37:26+00:00,2025-01-28 07:26:42+00:00,12,2022-11-02 10:42:08+00:00,2022-11-02 10:42:08+00:00,1,859,41,859.0,Legacy,11,818.0,859,2 years - 3 years
"1H2MXWiSniAgg7ykdXEzPHL6oTH1ic4kPBalance:10,000 BTC ($825,146,654) Ins:15 Outs:1",1H2MXWiS,10000.0,825146654.0,0.05042,2022-11-02 06:32:43+00:00,2025-01-28 07:26:42+00:00,15,2022-11-02 07:24:29+00:00,2022-11-02 07:24:29+00:00,1,859,41,859.0,Legacy,14,818.0,859,2 years - 3 years
"1DcT5Wij5tfb3oVViF8mA8p4WrG98ahZPTwallet: OKXBalance:10,000 BTC ($825,146,410) Ins:39 Outs:0",1DcT5Wij,10000.0,825146410.0,0.05042,2020-01-18 06:10:51+00:00,2025-03-09 06:32:31+00:00,39,,,0,1878,1,,Legacy,39,,1878,5 years - 7 years
"1JQULE6yHr9UaitLr4wahTwJN7DaMX7W1Zwallet: OKXBalance:10,000 BTC ($825,146,400) Ins:32 Outs:0",1JQULE6y,10000.0,825146400.0,0.05042,2020-01-18 06:10:51+00:00,2025-02-25 00:24:22+00:00,32,,,0,1878,13,,Legacy,32,,1878,5 years - 7 years
"1CY7fykRLWXeSbKB885Kr4KjQxmDdvW923wallet: OKXBalance:10,000 BTC ($825,146,396) Ins:33 Outs:0",1CY7fykR,10000.0,825146396.0,0.05042,2020-01-18 06:10:51+00:00,2025-02-16 11:00:14+00:00,33,,,0,1878,22,,Legacy,33,,1878,5 years - 7 years
"bc1q8vwsnzvy4fudzx9lyktpgu3pza34yqrdfnemc2Balance:9,907 BTC ($817,507,204) Ins:7 Outs:0",bc1q8vws,9907.0,817507204.0,0.04995,2024-11-11 22:14:53+00:00,2025-01-10 00:58:14+00:00,7,,,0,119,59,,Bech32,7,,119,3 months - 6 months
"bc1qxkhwkn623l5lg4rx9vx8cujmleaga0eg6wc7p6Balance:9,800 BTC ($808,642,810) Ins:6 Outs:0",bc1qxkhw,9800.0,808642810.0,0.04941,2024-12-02 16:34:08+00:00,2025-03-07 02:13:33+00:00,6,,,0,98,3,,Bech32,6,,98,3 months - 6 months
"39DUz1NCkLu25GczWiAjjgZBu4mUjKbdNABalance:9,757 BTC ($805,100,480) Ins:4 Outs:0",39DUz1NC,9757.0,805100480.0,0.04919,2023-03-01 06:42:07+00:00,2024-12-26 05:37:48+00:00,4,,,0,740,74,,SegWit,4,,740,2 years - 3 years
"bc1qvpgyac88vqtslewxu7yu9dqwp8rd83zch55zpm3xgn3mgg72w3kqv0..s8qawallet: 74771965 30d:+600 BTCBalance:9,680 BTC ($798,741,731) Ins:163 Outs:154",bc1qvpgy,9680.0,798741731.0,0.0488,2021-01-12 09:55:02+00:00,2025-02-25 10:29:13+00:00,163,2021-03-25 21:28:25+00:00,2024-12-19 21:52:22+00:00,154,1518,13,81.0,Bech32,9,68.0,81,1 month - 3 months
"3GPAWK5aUB5Ve9akvTzZgp69USjgbhFbay 2-of-3wallet: 78163677Balance:9,640 BTC ($795,404,479) Ins:966 Outs:729",3GPAWK5a,9640.0,795404479.0,0.0486,2021-04-07 06:56:10+00:00,2025-03-07 16:51:54+00:00,966,2021-04-08 21:05:14+00:00,2025-02-26 10:32:50+00:00,729,1433,3,12.0,SegWit,237,9.0,12,1 week - 1 month
"bc1qd46j77pkp5vdxraf8tw5l6xs36dlygdx2rt9lyBalance:9,500 BTC ($783,889,338) Ins:8 Outs:0",bc1qd46j,9500.0,783889338.0,0.0479,2024-06-27 17:41:30+00:00,2025-01-14 20:29:53+00:00,8,,,0,256,55,,Bech32,8,,256,6 months - 12 months
"1P9fAFAsSLRmMu2P7wZ5CXDPRfLSWTy9N8Balance:9,425 BTC ($777,682,517) Ins:38 Outs:0",1P9fAFAs,9425.0,777682517.0,0.04752,2017-10-15 22:32:51+00:00,2025-01-28 03:11:55+00:00,38,,,0,2703,41,,Legacy,38,,2703,7 years - 10 years
"33eU1zeB2S4x3p4ccSsnAChXcGJgtMrMtZwallet: 82375777Balance:9,363 BTC ($772,591,928) Ins:25 Outs:1",33eU1zeB,9363.0,772591928.0,0.04721,2019-10-07 07:22:01+00:00,2024-12-27 01:57:46+00:00,25,2021-12-19 16:57:45+00:00,2021-12-19 16:57:45+00:00,1,1981,73,1177.0,SegWit,24,1104.0,1177,3 years - 5 years
"1HLvaTs3zR3oev9ya7Pzp3GB9Gqfg6XYJTBalance:9,260 BTC ($764,086,918) Ins:92 Outs:0",1HLvaTs3,9260.0,764086918.0,0.04669,2010-03-18 13:37:36+00:00,2025-01-28 07:27:07+00:00,92,,,0,5471,41,,Legacy,92,,5471,+10 years
"bc1qukqenm2t85dhdta9glqehllglxznsu4qyxn079Balance:9,112 BTC ($751,865,911) Ins:5 Outs:0",bc1qukqe,9112.0,751865911.0,0.04594,2024-07-05 16:15:59+00:00,2025-01-18 04:23:06+00:00,5,,,0,248,51,,Bech32,5,,248,6 months - 12 months
"bc1qffyax9rrxmqyq8xwjkzrrqwqjp3ppz5a4665f9Balance:9,099 BTC ($750,800,921) Ins:5 Outs:0",bc1qffya,9099.0,750800921.0,0.04588,2024-07-09 15:54:36+00:00,2025-01-13 01:24:01+00:00,5,,,0,244,56,,Bech32,5,,244,6 months - 12 months
"167ZWTT8n6s4ya8cGjqNNQjDwDGY31vmHgBalance:8,999 BTC ($742,549,745) Ins:56 Outs:0",167ZWTT8,8999.0,742549745.0,0.04537,2010-08-09 21:35:11+00:00,2025-01-28 07:27:07+00:00,56,,,0,5327,41,,Legacy,56,,5327,+10 years
"39wVd42giU95ca39sEPkbPTpWygvsBDuA5wallet: OKExBalance:8,978 BTC ($740,814,182) Ins:22 Outs:16",39wVd42g,8978.0,740814182.0,0.04527,2023-03-21 21:39:23+00:00,2025-03-04 22:25:58+00:00,22,2023-03-23 21:37:43+00:00,2025-03-04 22:25:58+00:00,16,720,6,6.0,SegWit,6,0.0,6,1 day - 1 week
"3FupZp77ySr7jwoLYEJ9mwzJpvoNBXsBnEwallet: OKExBalance:8,888 BTC ($733,353,615) Ins:1231 Outs:1178",3FupZp77,8888.0,733353615.0,0.04481,2021-02-17 18:32:22+00:00,2025-03-08 01:58:21+00:00,1231,2021-04-20 21:27:40+00:00,2025-03-04 22:25:58+00:00,1178,1482,2,6.0,SegWit,53,4.0,6,1 day - 1 week
"143gLvWYUojXaWZRrxquRKpVNTkhmr415Bwallet: Huobi-coldwalletBalance:8,711 BTC ($718,752,539) Ins:457 Outs:188",143gLvWY,8711.0,718752539.0,0.04392,2019-11-01 19:09:34+00:00,2025-03-04 22:20:38+00:00,457,2019-11-01 23:34:32+00:00,2025-03-03 07:26:41+00:00,188,1956,6,7.0,Legacy,269,1.0,7,1 day - 1 week
"3CybbwzZmteP8gSwk5c7r8jirMziPVGkqwBalance:8,611 BTC ($710,538,221) Ins:6 Outs:0",3CybbwzZ,8611.0,710538221.0,0.04342,2024-07-05 16:15:59+00:00,2025-01-12 23:46:56+00:00,6,,,0,248,57,,SegWit,6,,248,6 months - 12 months
"3NWndKFmvV6cJ6ENgXVeaDTo3mBfAvr27H 3-of-8Balance:8,585 BTC ($708,422,026) Ins:3510 Outs:3462",3NWndKFm,8585.0,708422026.0,0.04329,2019-02-01 15:46:33+00:00,2025-03-10 02:37:39+00:00,3510,2019-02-13 16:21:19+00:00,2025-02-27 12:15:59+00:00,3462,2229,0,11.0,SegWit,48,11.0,11,1 week - 1 month
"187zSqAYwMKJAxWdWQ4fmp5DyT6G2NPgD7Balance:8,539 BTC ($704,633,483) Ins:4 Outs:0",187zSqAY,8539.0,704633483.0,0.04305,2022-06-25 10:59:26+00:00,2024-12-27 01:59:02+00:00,4,,,0,989,73,,Legacy,4,,989,2 years - 3 years
"bc1q5xm6ph5z8vryeqz8xq068wetcxkj97zajk8nn5wallet: 110271382Balance:8,427 BTC ($695,350,856) Ins:3 Outs:2",bc1q5xm6,8427.0,695350856.0,0.04249,2024-12-21 22:38:37+00:00,2025-01-26 08:49:19+00:00,3,2025-01-03 18:43:51+00:00,2025-01-31 17:38:15+00:00,2,79,43,38.0,Bech32,1,-5.0,38,1 month - 3 months
"3JfjvpikkxqfhW862ve1Ec6wZNkKcE8nLLBalance:8,369 BTC ($690,555,095) Ins:1 Outs:0",3Jfjvpik,8369.0,690555095.0,0.04219,2025-01-22 03:55:42+00:00,2025-01-22 03:55:42+00:00,1,,,0,47,47,,SegWit,1,,47,1 month - 3 months
"1Cr7EjvS8C7gfarREHCvFhd9gT3r46pfLbBalance:8,300 BTC ($684,857,613) Ins:79 Outs:13",1Cr7EjvS,8300.0,684857613.0,0.04185,2018-01-07 12:57:49+00:00,2025-02-06 03:24:01+00:00,79,2019-10-11 08:09:16+00:00,2025-02-06 03:17:32+00:00,13,2619,32,32.0,Legacy,66,0.0,32,1 month - 3 months
"1MwQyJLNerHPVMTQXKAbQrnwF9VortvuAfBalance:8,150 BTC ($672,494,255) Ins:2 Outs:0",1MwQyJLN,8150.0,672494255.0,0.04109,2022-08-10 15:49:24+00:00,2024-12-27 01:59:02+00:00,2,,,0,943,73,,Legacy,2,,943,2 years - 3 years
"1GcPTDtNXuPghJU5qSGvkPQ99nhWrbQaYRBalance:8,022 BTC ($661,934,540) Ins:63 Outs:0",1GcPTDtN,8022.0,661934540.0,0.04045,2020-09-04 03:45:03+00:00,2024-12-27 02:17:03+00:00,63,,,0,1648,73,,Legacy,63,,1648,3 years - 5 years
"1GaSQcWg3R98qf5sTWetwjjMh6ehxj25GpBalance:8,022 BTC ($661,934,540) Ins:62 Outs:0",1GaSQcWg,8022.0,661934540.0,0.04045,2020-06-03 11:59:14+00:00,2024-12-27 02:17:03+00:00,62,,,0,1741,73,,Legacy,62,,1741,3 years - 5 years
"1LjUYdf8mQk9DsrVvuPYeHyJKQq5V1MLsTBalance:8,022 BTC ($661,934,540) Ins:70 Outs:0",1LjUYdf8,8022.0,661934540.0,0.04045,2020-03-20 15:00:46+00:00,2024-12-27 02:17:03+00:00,70,,,0,1816,73,,Legacy,70,,1816,3 years - 5 years
"1MH8s3qc4F2GZNod1R43qeysSB2ssZCXbBalance:8,022 BTC ($661,934,540) Ins:62 Outs:0",1MH8s3qc,8022.0,661934540.0,0.04045,2020-08-10 11:44:27+00:00,2024-12-27 02:05:21+00:00,62,,,0,1673,73,,Legacy,62,,1673,3 years - 5 years
"12T7nyMrAnd13UAMYCCJZ8Fw7PpMGPRFsiBalance:8,022 BTC ($661,934,540) Ins:67 Outs:0",12T7nyMr,8022.0,661934540.0,0.04045,2020-05-11 14:46:13+00:00,2024-12-27 02:05:21+00:00,67,,,0,1764,73,,Legacy,67,,1764,3 years - 5 years
"13AiVabLoTcYTdaFcFYtpFFmCFagjiUwE2Balance:8,022 BTC ($661,934,540) Ins:62 Outs:0",13AiVabL,8022.0,661934540.0,0.04045,2020-08-06 20:06:24+00:00,2024-12-27 02:06:54+00:00,62,,,0,1677,73,,Legacy,62,,1677,3 years - 5 years
"1GBzbXJmcMjnDyTW2yKJFfeXUGicG1zpC4Balance:8,022 BTC ($661,934,540) Ins:66 Outs:0",1GBzbXJm,8022.0,661934540.0,0.04045,2020-04-28 09:26:08+00:00,2024-12-27 02:17:03+00:00,66,,,0,1777,73,,Legacy,66,,1777,3 years - 5 years
"18zuLTKQnLjp987LdxuYvjekYnNAvXif2bBalance:8,021 BTC ($661,825,311) Ins:34 Outs:0",18zuLTKQ,8021.0,661825311.0,0.04044,2013-04-25 00:16:44+00:00,2024-12-27 02:17:03+00:00,34,,,0,4337,73,,Legacy,34,,4337,+10 years
"3PWn1AGqo8HWH8mXSsxx1Ytk87zMAAziFUBalance:8,000 BTC ($660,119,532) Ins:14 Outs:0",3PWn1AGq,8000.0,660119532.0,0.04033,2019-02-16 15:38:50+00:00,2024-12-27 02:17:03+00:00,14,,,0,2214,73,,SegWit,14,,2214,5 years - 7 years
"198aMn6ZYAczwrE5NvNTUMyJ5qkfy4g3HiBalance:8,000 BTC ($660,117,646) Ins:82 Outs:0",198aMn6Z,8000.0,660117646.0,0.04033,2009-02-22 10:50:53+00:00,2025-02-23 21:51:24+00:00,82,,,0,5860,15,,Legacy,82,,5860,+10 years
"18f6y4uWnLd7VPzfR2c1dMboihghXYHRH3Balance:8,000 BTC ($660,117,274) Ins:62 Outs:0",18f6y4uW,8000.0,660117274.0,0.04033,2020-05-08 19:01:11+00:00,2024-12-27 02:17:03+00:00,62,,,0,1767,73,,Legacy,62,,1767,3 years - 5 years
"17wADqWPK8wZfpRmPkauviq2VDBmhm82rMBalance:8,000 BTC ($660,117,112) Ins:62 Outs:0",17wADqWP,8000.0,660117112.0,0.04033,2020-03-14 08:51:28+00:00,2024-12-27 02:17:03+00:00,62,,,0,1822,73,,Legacy,62,,1822,3 years - 5 years
"1EUgoa25tkqMUYh7PXzDfqqNP5PtHKZmctBalance:8,000 BTC ($660,117,112) Ins:56 Outs:0",1EUgoa25,8000.0,660117112.0,0.04033,2020-03-13 21:31:57+00:00,2024-12-27 02:17:03+00:00,56,,,0,1823,73,,Legacy,56,,1823,3 years - 5 years
"1AfHER73jneZAEAHNiz5dBKnrzeWcMJM5iBalance:8,000 BTC ($660,117,112) Ins:54 Outs:0",1AfHER73,8000.0,660117112.0,0.04033,2020-06-12 18:15:32+00:00,2024-12-27 02:17:03+00:00,54,,,0,1732,73,,Legacy,54,,1732,3 years - 5 years
"1NJdqNoC7uPh7MqQhyEynRn9htstEELZDnBalance:8,000 BTC ($660,117,112) Ins:65 Outs:0",1NJdqNoC,8000.0,660117112.0,0.04033,2020-05-06 20:51:08+00:00,2024-12-27 02:17:03+00:00,65,,,0,1769,73,,Legacy,65,,1769,3 years - 5 years
"15TbabdR3FKJMpRxDeEetezWKGJwdGXbTYBalance:8,000 BTC ($660,117,111) Ins:68 Outs:0",15TbabdR,8000.0,660117111.0,0.04033,2020-04-22 19:06:24+00:00,2024-12-27 02:17:03+00:00,68,,,0,1783,73,,Legacy,68,,1783,3 years - 5 years
"1LuEe5Xkf1eA493SvsKwjPTS9RkW9JV9N2Balance:8,000 BTC ($660,117,111) Ins:63 Outs:0",1LuEe5Xk,8000.0,660117111.0,0.04033,2020-08-07 19:18:04+00:00,2024-12-27 02:17:03+00:00,63,,,0,1676,73,,Legacy,63,,1676,3 years - 5 years
"1Ja7G9JJRw8w8WWnMzw7PwYehhiZmhESkCBalance:8,000 BTC ($660,117,111) Ins:66 Outs:0",1Ja7G9JJ,8000.0,660117111.0,0.04033,2020-07-08 17:13:45+00:00,2024-12-27 02:17:03+00:00,66,,,0,1706,73,,Legacy,66,,1706,3 years - 5 years
"1CptxmzfRyU2rF3VJ6q8wa2tkh3cm82p9PBalance:8,000 BTC ($660,117,111) Ins:60 Outs:0",1Cptxmzf,8000.0,660117111.0,0.04033,2020-09-13 15:16:57+00:00,2024-12-27 02:17:03+00:00,60,,,0,1639,73,,Legacy,60,,1639,3 years - 5 years
"1PnsNtAqmHQKxyqKS843J9aegdJsXr5rpDBalance:8,000 BTC ($660,117,111) Ins:59 Outs:0",1PnsNtAq,8000.0,660117111.0,0.04033,2020-08-21 13:37:15+00:00,2024-12-27 02:17:03+00:00,59,,,0,1662,73,,Legacy,59,,1662,3 years - 5 years
"1AXskHt4ZwVZLonZV8BMDxh4V65ec41KMJBalance:8,000 BTC ($660,117,109) Ins:61 Outs:0",1AXskHt4,8000.0,660117109.0,0.04033,2020-10-28 17:27:42+00:00,2024-12-27 02:17:03+00:00,61,,,0,1594,73,,Legacy,61,,1594,3 years - 5 years
